Image, Manual label, Manual area, OrganoID label, OrganoID area
ACC1.png, 1, 8168.636000, 1, 7907.788800
ACC1.png, 2, 6205.417600, 3, 7859.738000
ACC1.png, 4, 3191.946000, 4, 2649.658400
ACC1.png, 5, 50350.374000, 5, 47460.461600
ACC1.png, 6, 3212.539200, 6, 2690.844800
ACC1.png, 7, 4111.775600, 8, 3555.759200
ACC2.png, 1, 9733.719200, 2, 7763.636400
ACC2.png, 2, 3974.487600, 4, 2834.997200
ACC2.png, 3, 6898.722000, 5, 3459.657600
ACC2.png, 4, 24368.620000, 6, 18266.168400
ACC2.png, 5, 51057.407200, 9, 47082.919600
ACC2.png, 6, 8779.567600, 11, 3706.776000
ACC2.png, 7, 2224.065600, 12, 1558.218800
ACC2.png, 8, 4832.537600, 13, 3789.148800
ACC2.png, 11, 1386.608800, 3, 3658.725200
ACC2.png, 13, 1606.269600, 8, 2581.014400
ACC3.png, 1, 12342.191200, 1, 10111.261200
ACC3.png, 2, 3205.674800, 16, 2725.166800
ACC3.png, 3, 5381.689600, 19, 5683.723200
ACC3.png, 4, 5024.740800, 22, 4146.097600
ACC3.png, 11, 1654.320400, 8, 2079.913200
ACC3.png, 12, 1771.015200, 10, 2086.777600
ACC3.png, 21, 2979.149600, 5, 1441.524000
ACC3.png, 25, 3981.352000, 27, 4063.724800
ACC4.png, 1, 45428.599200, 1, 42401.398800
ACC4.png, 2, 11703.802000, 2, 11243.887200
ACC4.png, 3, 2629.065200, 3, 2093.642000
ACC4.png, 4, 16110.746800, 4, 14573.121200
ACC4.png, 5, 3466.522000, 5, 3095.844400
ACC4.png, 6, 59480.026000, 6, 54434.692000
ACC5.png, 1, 23792.010400, 1, 9047.279200
ACC5.png, 2, 24910.907600, 4, 20675.572800
ACC5.png, 3, 4640.334400, 7, 2999.742800
ACC5.png, 4, 14799.646400, 8, 13749.393200
ACC5.png, 5, 10571.176000, 16, 7715.585600
ACC5.png, 6, 14806.510800, 18, 11731.259600
ACC5.png, 12, 7866.602400, 2, 7049.738800
ACC5.png, 14, 2903.641200, 3, 2347.624800
ACC5.png, 15, 1791.608400, 5, 6212.282000
ACC5.png, 18, 1716.100000, 10, 1997.540400
ACC6.png, 1, 18073.965200, 1, 16604.983600
ACC6.png, 2, 5669.994400, 2, 5223.808400
ACC6.png, 3, 9809.227600, 3, 8168.636000
ACC6.png, 4, 8800.160800, 4, 7530.246800
ACC6.png, 5, 12616.767200, 5, 11765.581600
ACC6.png, 6, 8257.873200, 6, 6836.942400
C1.png, 1, 3960.758800, 1, 3445.928800
C1.png, 2, 2361.353600, 3, 1565.083200
C1.png, 3, 23538.027600, 4, 18691.761200
C1.png, 4, 4708.978400, 5, 4063.724800
C1.png, 5, 3246.861200, 8, 2848.726000
C1.png, 6, 4111.775600, 9, 3116.437600
C1.png, 7, 2532.963600, 10, 1530.761200
C1.png, 8, 3260.590000, 11, 2581.014400
C1.png, 9, 3789.148800, 16, 2615.336400
C1.png, 14, 4839.402000, 17, 6878.128800
C1.png, 16, 1379.744400, 6, 2148.557200
C2.png, 1, 12623.631600, 2, 7770.500800
C2.png, 2, 8072.534400, 4, 7248.806400
C2.png, 3, 8999.228400, 5, 8456.940800
C2.png, 4, 8951.177600, 6, 7104.654000
C2.png, 5, 2395.675600, 8, 1894.574400
C2.png, 6, 4763.893600, 9, 4530.504000
C2.png, 7, 3329.234000, 10, 2388.811200
C2.png, 8, 4935.503600, 11, 3960.758800
C2.png, 9, 1887.710000, 16, 1695.506800
C2.png, 11, 1963.218400, 1, 1565.083200
C2.png, 12, 1915.167600, 3, 1846.523600
C3.png, 1, 6157.366800, 2, 6370.163200
C3.png, 2, 4255.928000, 6, 4063.724800
C3.png, 3, 1997.540400, 9, 1722.964400
C3.png, 4, 9665.075200, 10, 6157.366800
C3.png, 5, 5065.927200, 12, 4468.724400
C3.png, 6, 12589.309600, 14, 10948.718000
C3.png, 7, 3782.284400, 18, 3253.725600
C3.png, 8, 2327.031600, 20, 2079.913200
C3.png, 9, 2766.353200, 21, 2196.608000
C3.png, 10, 5814.146800, 23, 4674.656400
C3.png, 20, 1729.828800, 15, 1640.591600
C3.png, 23, 1475.846000, 22, 2471.184000
C3.png, 25, 1873.981200, 24, 2306.438400
C4.png, 1, 3555.759200, 1, 2944.827600
C4.png, 2, 6047.536400, 3, 5354.232000
C4.png, 3, 2429.997600, 6, 1935.760800
C4.png, 4, 11147.785600, 7, 10145.583200
C4.png, 5, 2821.268400, 8, 2471.184000
C4.png, 6, 8971.770800, 9, 7296.857200
C5.png, 1, 3219.403600, 1, 2642.794000
C5.png, 2, 4352.029600, 3, 4056.860400
C5.png, 3, 6390.756400, 4, 3473.386400
C5.png, 4, 6809.484800, 8, 5484.655600
C5.png, 5, 7873.466800, 9, 6603.552800
C5.png, 6, 3857.792800, 10, 3109.573200
C5.png, 15, 2471.184000, 11, 1709.235600
C5.png, 16, 3253.725600, 12, 2677.116000
C6.png, 1, 10056.346000, 1, 10186.769600
